,marketSegment,name,slug,ticker,totalSupply
78,DeFi,Transledger,transledger,TRN,
79,Ethereum,Punk,punk,PUNK,0
80,Blockchain Service,Kambria,kambria,KAT,3098854699.998901
81,,Cere Network,cere,CERE,
82,,X-power Chain,xpower,XPO,
83,Data,GXChain,gxchain,GXC,99734505.25981
84,,Eminer,eminer,EM,2100000000
85,Binance,Pledgecamp,pledge-coin,PLG,10000000000
86,Stablecoin,Basis Cash,basis-cash,BAC,54589290.34194546
87,,Simone,simone,SON,99900
88,Gaming,Game.com,game,GTC,2000000000
89,,EMOGI Network,emogi-network,LOL,21000000000
90,Insurance,Insured Finance,insured-finance,INFI,120000000
91,Financial,Swipe,swipe,SXP,285368788.73913497
92,,12Ships,12ships,TSHP,4980527200
93,,Lukki,lukki,LOT,2000000000
94,Ethereum,PLANET,planet,PLA,5000000000
95,,Tokoin,tokoin,TOKO,2000000000
96,,VideoCoin,videocoin,VID,265000000
97,,FIBOS,fibos,FO,1075771761.0869
98,,Cryptocean,cryptocean,CRON,19121150.61929778
99,,MixMarvel,mixmarvel,MIX,10000000000
100,,Sealchain,sealchain,SEAL,1800000000
101,,Streamit Coin,streamit-coin,STREAM,13529414.41204769
102,,Yobit Token,yobit,YO,17000
103,Binance,CryptoBonusMiles,cryptobonusmiles,CBM,5000000000
104,Stablecoin,Paxos Standard,paxos-standard,USDP,945642940.11
105,,VIDY,vidy,VIDY,10000000000
106,Financial,Vodi X,vodi-x,VDX,1397703182.84111
107,,BidiPass,bidipass,BDP,1500000000
108,,Wavesbet,wavesbet,WBET,59499999948
109,Cryptocurrency,AXE,axe,AXE,5260967.896223
110,,Synth sDEFI,sdefi,sDEFI,862.0891
111,Blockchain Service,QLC Chain,qlink,QLC,600000000
112,Tokenization,DeFi Socks,defisocks,DEFISOCKS,
113,,Emirex Token,emirex,EMRX,500000000
114,,Amino Network,amino,AMIO,1000000000
115,,NSS Coin,nss,NSS,100000000
116,,Synth sXAG,sxag,sXAG,6463.877
117,,xCrypt Token,xcrypt,XCT,200000000
118,Protocol,Sentinel Protocol,sentinel-protocol,UPP,500000000.00000006
119,,En-Tan-Mo,en-tan-mo,ETM,210000000
120,,Decentralized Vulnerability Platform,decentralized-vulnerability-platform,DVP,5000000000
121,Protocol,ChatCoin,chatcoin,CHAT,1000000000
122,Cloud Computing,Ankr,ankr,ANKR,10000000000
123,Trading,CNNS,cnns,CNNS,10000000000
124,Investments,Molecular Future,molecular-future,MOF,100000000
125,Art,Artfinity,artfinity,AT,1000000000
126,Trading,Autonio,autonio,NIOX,315000000
127,Other,SIRIN LABS Token,sirin-labs-token,SRN,572166103.886
128,Other,WHEN Token,when-token,WHEN,875000000
129,Financial,Safe Exchange,safe-exchange-coin,SAFEX,785836169
130,Other,VNT Chain,vnt-chain,VNT,10000000000
131,Trading,Spiking,spiking,SPIKE,5000000000
132,Platform,GoPower,gopower,GPT,111227045.9
133,Cloud Storage,Flowchain,flowchain,FLC,1000000000
134,Blockchain Network,Trias,trias,TRY,10000000000
135,Financial,QuickX Protocol,quickx-protocol,QCX,500000000
136,Trading,ChartEx,chartex,CHART,250000000
137,AI,PATHHIVE,phv,PHV,3500000000
138,Financial,BOLT,bolt,BOLT,995000000
139,Exchange,TOKOK,tokok,TOK,998617461.09785
140,Exchange,INMAX,inmax,INX,6500000
141,Cloud Storage,Lambda,lambda,LAMB,6000000000
142,Advertising,Birdchain,birdchain,BIRD,287504829.4830753
143,DeFi,Yearn Finance DOT,yearn-finance-dot,YFDOT,18493.75
144,Media,Contents Protocol,contents-protocol,CPT,10000000000
145,Advertising,AdEx,adx-net,ADX,142699808.21605957
146,DeFi,Tribe,tribe,TRIBE,1000000000
147,Other,P2P Global Network,p2p-global-network,P2PX,100000000
148,Ethereum,Paragon,paragon,PRG,164936509.401132
149,Other,Asian Fintech,asian-fintech,AFIN,500000000
150,,Synth sCHF,schf,sCHF,
151,,Synth sADA,sada,sADA,77750.6
152,,Synth sDASH,sdash,sDASH,
153,Blockchain Service,S4FE,s4fe,S4F,1000000000
154,Platform,GMB,gmb,GMB,5000000000
155,DeFi,Zero Collateral,zero-collateral,ZCT,
156,Advertising,Online,online,OIO,2500000000
157,Exchange,Bitrue Coin,bitrue-coin,BTR,801307097.3484074
158,AI,Lisk Machine Learning,lisk-machine-learning,LML,400000000
159,Smart Contracts,API3,api3,API3,104238461
160,Protocol,Xriba,xriba,XRA,275000000
161,Financial,Almeela ,almeela,KZE,8000000
162,Entertainment,SnapCoin,snapcoin,SNPC,678333334
163,Other,FNB Protocol,fnb-protocol,FNB,2490000160
164,Exchange,Coineal Token,coineal-token,NEAL,10000000000
165,Platform,BUDDY,buddy,BUD,35000000000
166,Cryptocurrency,BuySell,buysell,BULL,5037071.6612
167,Financial,Cryptopay,cryptopay,CPAY,90414745
168,Decentralized Exchange,DIGG,digg,DIGG,6613.10392834
169,,Synth iOIL,ioil,iOIL,
170,Cloud Computing,NKN,nkn,NKN,700000000
171,,Synth sETC,setc,sETC,
172,Other,HashNet BitEco,hashnet-biteco,HNB,1000000000
173,Financial,EveryCoin,everycoin,EVY,88800000000
174,Platform,IZIChain,izichain,IZI,1250000000
175,Supply,InnovaMinex,innovaminex,MINX,300000000
176,Data,Quadrant Protocol,quadrantprotocol,EQUAD,1000000000
177,Other,Q DAO Governance token v1.0,q-dao-governance-token,QDAO,999081.58
178,AI,Fetch,fetch,FET,1151441225.6042874
179,Gaming,MOBOX,mobox,MBOX,389387366.56043935
180,Insurance,ARMOR,armor,ARMOR,1000000000
181,Ethereum,SpiderDAO,spiderdao,SPDR,1000000000
182,Ethereum,Polygon,matic-network,MATIC,10000000000
183,Exchange,DEX,dex,DEX,1892996914
184,Trading,Hxro,hxro,HXRO,1000000000
185,Social,PTON,pton,PTON,23200000000
186,Financial,Bonpay,bonpay,BON,21745688.3534
187,Financial,SwftCoin,swftcoin,SWFTC,10000000000
188,Platform,Levolution,levolution,LEVL,311000000
189,E-Commerce,IOU,iou,IOUX,800000000
190,Communication Network,SpaceChain,spacechain,SPC,392257015.94627684
191,DeFi,Yfi.mobi,yfi-mobi,YFIM,60000
192,Transportation,ParkinGo,parkingo,GOT,94808613.2074404
193,Infrastructure,Stacks,blockstack,STX,1352464600
194,Exchange,Fatcoin,fatcoin,FAT,200000000
195,Supply,Hercules,hercules,HERC,177593051.093575
196,Financial,CoinUs,coinus,CNUS,2000000000
197,Gaming,Decimated,decimated,DIO,1000000000
198,Other,BOSAGORA,bosagora,BOA,450000000
199,Healthcare,Skychain,skychain,SCH,12360000
200,Insurance,Etherisc,etherisc,DIP,1000000000
201,Platform,FLETA,fleta,FLETA,2000000000
202,Interoperability,EXRNchain,exrnchain,EXRN,100000000000
203,Financial,Internxt,internxt,INXT,629609.543
204,Media,Fountain,fountain,FTN,2208919510.99
205,Financial,EurocoinToken,eurocoin-token,ECTE,100000000
206,Data,Carry,carry,CRE,10000000000
207,Financial,AIDUS TOKEN,aidus-token,AID,10000000000
208,Other,IntelliShare,intellishare,INE,986000000
209,Exchange,B2BX,b2bx,B2B,19822337.19958543
210,Healthcare,SOLVE,solve,SOLVE,1000000000
211,Platform,Origo,origo,OGO,681277829.938
212,,Tchain,tchain,TCH,100000000
213,Stablecoin,CryptoFranc,cryptofranc,XCHF,2000000
214,Other,Membrana,membrana,MBN,588316307.739053
215,Blockchain Network,Solana,solana,SOL,508992828.98912406
216,Investments,DuckDaoDime,duckdaodime,DDIM,1472092.49864144
217,Blockchain Service,Evedo,evedo,EVED,17756589.687825
218,Other,DREP,drep,DREP,3431350063.1348667
219,Exchange,TigerCash,tigercash,TCH,1000000000
220,Ethereum,SKALE Network,skale-network,SKL,4276664349
221,Entertainment,PIXEL,pixel,PXL,987500000
222,Data,COVA,cova,COVA,6500000000
223,Prediction Market,Bodhi,bodhi,BOT,100000000
224,Blockchain Service,FOAM Protocol,foam,FOAM,1000000000
225,Protocol,Dusk Network,dusk-network,DUSK,500000000
226,Financial,Turtlecoin,turtlecoin,TRTL,115205842408.17
227,Gaming,Binemon,binemon,BIN,950000000
228,Protocol,Sharder,sharder,SS,350000000
229,Marketplace,Herbalist Token,herbalist-token,HERB,9500000000
230,Entertainment,The Currency Analytics,the-currency-analytics,TCAT,400000000
231,Ethereum,Upfiring,upfiring,UFR,24000000.00578804
232,Travel,Tratok,tratok,TRAT,100000000000
233,Cloud Computing,Akash Network,akash-network,AKT,162863559.115862
234,Fund,Numeraire,numeraire,NMR,10970820.91398445
235,,DigitalBits,digitalbits,XDB,1500000000
236,Cryptocurrency,Titan Coin,titan-coin,TTN,910820150.1590686
237,,ProBit Token,probit,PROB,190000000
238,,Gomics,gomics,GOM,75000000
239,Prediction Market,Gnosis,gnosis-gno,GNO,10000000
240,Gaming,Playkey,playkey,PKT,19893267.57518124
241,DeFi,PolkaBridge,polkabridge,PBR,84927474.2502552
242,Cryptocurrency,Wrapped Bitcoin,wrapped-bitcoin,WBTC,239132.08155071
243,Financial,O3Swap,o3swap,O3,43741143.06878021
244,Decentralized Exchange,Lattice Token,lattice-token,LTX,100000000
245,Trading,Coinvest,coinvest,COIN,107142857
246,DeFi,Cherry Swap,cherry-swap,CSW,
247,Bitcoin,ZeroNet,zeronet,ZNT,
248,Bitcoin,Bisq,bisq,BISQ,
249,Other,pEOS,peos,PEOS,1000000000
250,DeFi,Band Protocol,band-protocol,BAND,100000000
251,EOS,Telos,telos,TLOS,355208370.6674
252,Decentralized Exchange,SnowSwap,snowswap,SNOW,500000
253,Gaming,Gods Unchained,gods-unchained,GODS,500000000
254,,Hyper Speed Network,hyper-speed-network,HSN,939999999.99
255,Stablecoin,Binance USD,binance-usd,BUSD,12694721881.85
256,DeFi,Staked,staked,STK,
257,Exchange,KUN,kun,KUN,1000000
258,DeFi,Alpaca Finance,alpaca-finance,ALPACA,144858125.18686786
259,Platform,PAID Network,paid-network,PAID,594717455.71
260,Insurance,Tidal Finance,tidal-finance,TIDAL,19838000001
261,Gaming,Wall Street Games,wall-street-games,WSG,997821336590472
262,,Krios,krios,KRI,500000000
263,Platform,CyberFi Token,cyberfi,CFI,2400000
264,Exchange,Dragon Token,dragon-token,DT,21406200
265,Virtual Reality,CEEK,ceek-vr,CEEK,1000000000
266,,TrueFeedBack,truefeedback,TFB,5000000000
267,Tokenization,PAX Gold,pax-gold,PAXG,173619.937
268,DeFi,Abra,abra,ABR,
269,Blockchain Network,Hive,hive,HIVE,395517429.171
270,DeFi,MetaMoneyMarket,metamoneymarket,MMM,
271,Travel,Ariva,ariva,ARV,100000000000
272,Smart Contracts,Agrello,agrello-delta,DLT,130271020.035721
273,DeFi,AlphaWallet,alphawallet,AWL,
274,DeFi,Ambo,ambo,AMBO,
275,DeFi,Argent,argent,ARG,
276,DeFi,Betoken,betoken,BTK,
277,,LiquidApps,liquid-apps,DAPP,1056939327.1283
278,,OTOCASH,otocash,OTO,38307412.5696
279,,Colletrix,colletrix,CIPX,1838477280
280,Social,Howdoo,howdoo,UDOO,888888888
281,,AmonD,amond,AMON,7176499999
282,Other,Bob’s Repair,bobs-repair,BOB,360000000
283,Other,Business Credit Substitute,business-credit-substitute,BCS,68000000
284,DeFi,Bitpie,bitpie,BTP,
285,Ethereum,ClearPoll,clearpoll,POLL,8999991.9
286,DeFi,BUTTON Wallet,button-wallet,BUTT,
287,DeFi,Cobo Wallet,cobo-wallet,COBO,
288,Financial,Blockzero Labs,blockzerolabs,XIO,100000000
289,,Synth iLINK,ilink,iLINK,
290,,Polis,polis,POLIS,9831890.566954
291,Other,Blockchain Quotations Index Token,blockchain-quotations-index-token,BQT,1000000000
292,DeFi,Coinbase Wallet,coinbase-wallet,CBW,
293,Ethereum,KEY,key,KEY,100000000000
294,DeFi,Fetch,fetch-wallet,FTW,
295,DeFi,imToken,imtoken,IMT,
296,Financial,Roobee,roobee,ROO,5400000000
297,Decentralized Exchange,SolFarm,solfarm,TULIP,10000000
298,,Synth iTRX,itrx,iTRX,
299,DeFi,DeFi Saver,defi-saver,DFS,
300,DeFi,DexWallet,dexwallet,DWL,
301,Travel,Condominium,condominium,CDM,1607137916.7034
302,,Synth sXMR,sxmr,sXMR,
303,Financial,Solanium,solanium,SLIM,100000000
304,Cryptocurrency,CENTERCOIN,centercoin,CENT,3500002431.62882
305,Data,LemoChain,lemochain,LEMO,1600000000
306,Privacy,Beam,beam,BEAM,101204840
307,Financial,SaluS,salus,SLS,1012265.271484
308,Financial,Solrise Finance,solrise-finance,SLRS,1000000000
309,,Synth sETH,seth,sETH,29935.4
310,Data,Tierion,tierion,TNT,1000000000
311,Tokenization,DeHive,dehive,DHV,2481597.0158735
312,Cryptocurrency,Rhenium,rhenium,XRH,33891939.4450499
313,Ethereum,Block Array,block-array,ARY,88409932.93
314,,Synth sXRP,sxrp,sXRP,
315,Financial,Alpha Token,alpha-token,A,278273649.09200984
316,,Synth iXRP,ixrp,iXRP,
317,,Synth sEOS,seos,sEOS,
318,Investments,Blackmoon,blackmoon,BMC,60000000
319,Exchange,Bibox Token,bibox-token,BIX,235972808.27
320,,Synth iADA,iada,iADA,
321,,Synth iCEX,icex,iCEX,
322,,Synth iDEFI,idefi,iDEFI,
323,DeFi,KeeperDAO,keeperdao,ROOK,1226310
324,,Synth iBCH,ibch,iBCH,
325,Privacy,Sumokoin,sumokoin,SUMO,45914830.5201778
326,Cryptocurrency,Pure,purex,PUREX,20220781.688152
327,,Synth sEUR,seur,sEUR,
328,,Synth iDASH,idash,iDASH,
329,Other,NNB Token,nnb-token,NNB,6000000000
330,Other,NIX,nix,NIX,49238466.326487
331,AI,Invacio,invacio,INV,19424494
332,Financial,Spendcoin,spendcoin,SPND,2595786940
333,,Synth sBNB,sbnb,sBNB,
334,Stellar,Smartlands,smartlands,SLT,7186785.07945
335,Sports,Cubiex,cubiex,CBIX,71852557
336,Cryptocurrency,Redd,reddcoin,RDD,30397274955
337,Cryptocurrency,Bitcoin Cash ABC,bitcoin-cash-abc-2,BCHA,18572921
338,Network,Cajutel,cajutel,CAJ,1780000
339,Virtual Reality,VIBE,vibe,VIBE,267000000
340,,Synth iLTC,iltc,iLTC,
341,Blockchain Service,Engine,engine,EGC,10000000000
342,Interoperability,Lamden,lamden,TAU,288090567.494
343,,Synth sLTC,sltc,sLTC,
344,Lending,Beta Finance,beta-finance,BETA,1000000000
345,Exchange,DEW,dew,DEW,200000000
346,,Synth sOIL,soil,sOIL,
347,Stablecoin,Vai,vai,VAI,125141617
348,,Synth sXTZ,sxtz,sXTZ,
349,Cryptocurrency,HyperCash,hypercash,HC,45071909.329052
350,Ethereum,Zilla,zilla,ZLA,60000000
351,Financial,MenaPay,menapay,MPAY,400000000
352,Decentralized Exchange,Polkadex,polkadex,PDEX,20000000
353,Prediction Market,SEER,seer,SEER,4100000000
354,Network,MaidSafeCoin,maidsafecoin,MAID,452552412
355,Gambling,CashBet,cashbet-coin,CBC,401647957.75
356,DeFi,Sav3Token,sav3token,SAV3,26734226
357,Cryptocurrency,Unobtanium,unobtanium,UNO,203328.411519
358,Protocol,Bytom,bytom,BTM,1713048187.5
359,,Synth iBTC,ibtc-synthetix,iBTC,504.91243286
360,Interoperability,Ink,ink,INK,1000000000
361,Platform,Komodo,komodo,KMD,128744064.75842
362,IoT,Blockcloud,blockcloud,IOT,10000000000
363,,Synth iETH,ieth,iETH,33199.81990523
364,Neo,Zeepin,zeepin,ZPT,1000000000
365,,Synth iEOS,ieos,iEOS,
366,,Synth sAUD,saud,sAUD,
367,Financial,Zippie,zippie,ZIPT,1000000000
368,Cryptocurrency,Decred,decred,DCR,13495889.7073457
369,,Synth iETC,ietc,iETC,
370,Investments,Intelligent Investment Chain,intelligent-investment-chain,IIC,21000000000
371,Financial,Enzyme,melon,MLN,1824437.31909865
372,,FREE Coin,free-coin,FREE,10998999997635
373,Binance,RedFOX Labs,redfox-labs,RFOX,2000000000
374,,Synth iXMR,ixmr,iXMR,
375,Exchange,International Crypto X,internationalcryptox,INCX,599999990
376,Travel,Quasarcoin,quasarcoin,QAC,263449705.26
377,Healthcare,MediBloc,medibloc,MED,7697598449
378,,Synth iXTZ,ixtz,iXTZ,
379,Gambling,FUNToken,funfair,FUN,10994873521.398026
380,Cloud Computing,Internet Computer,internet-computer,ICP,474680175.84138745
381,Financial,TenX,tenx,PAY,205218255.94857776
382,,Elite,1337coin,1337,29381014024.1221
383,Investments,SPINDLE,spindle,SPD,10000000000
384,Social,ONOToken,onotoken,ONOT,75000000000
385,,Synth iBNB,ibnb,iBNB,
386,Ethereum,Dogs Of Elon,dogs-of-elon,DOE,940000000
387,Financial,BeeKan,beekan,BKBT,10000000000
388,Neo,Gas,gas,GAS,17190378
389,Cryptocurrency,Emercoin,emercoin,EMC,48387956.635427
390,Platform,COPYTRACK,copytrack,CPY,52999378
391,Platform,Burst,burst,BURST,2120642444
392,,Synth sTRX,strx,sTRX,
393,Cryptocurrency,EUNO,euno,EUNO,6370258391.045682
394,Ethereum,Dignity,dignity,DIG,3000000000
395,Protocol,Odyssey,odyssey,OCN,10000000000
396,Binance,Berry Data,berry-data,BRY,7500000
397,Exchange,Themis,themis,GET,1000000000
398,Other,CanonChain,cononchain,CZR,1618033988
399,Verification,Experience Token,experience-token,EXT,10000000000
400,Smart Contracts,Ether Zero,ether-zero,ETZ,228469282.9
401,Blockchain Service,Namecoin,namecoin,NMC,14736400
402,Fund,Invictus Hyperion Fund,invictus-hyperion-fund,IHF,118470656.8138736
403,Gaming,REVV,revv,REVV,3000000000
404,IoT,HDAC,hdac,DAC,2147063497
405,Platform,Primas,primas,PST,101342465.753
406,Jobs,VikkyToken,vikkytoken,VIKKY,12000000000
407,Cryptocurrency,MonaCoin,monacoin,MONA,65729674.871168
408,Blockchain Network,DACC,dacc,DACC,30000000000
409,Financial,Paytomat,paytomat,PTI,3600000000
410,Blockchain Service,Time New Bank,time-new-bank,TNB,4413848444.218691
411,Transportation,ShipChain,shipchain,SHIP,500000000
412,AI,Effect.AI,effect-ai,EFX,650000000
413,Interoperability,Zipper,zip,ZIP,100000000000
414,Sports,Esports Token,esports-token,EST,1000000000
415,Financial,Everus,everus,EVR,1000000000
416,Blockchain Network,Zen Protocol,zen-protocol,ZP,26631450
417,Blockchain Service,Yuan Chain Coin,yuan-chain-coin,YCC,10000000000
418,Marketplace,MediShares,medishares,MDS,2000000000
419,Platform,Phoenix Global,phoenix-global,PHB,3711738526.056178
420,DeFi,MoonSwap,moonswap,MOON,29210827.40437041
421,Exchange,Mothership,mothership,MSP,200000000
422,Gaming,Step Hero,step-hero,HERO,
423,Gambling,Wagerr,wagerr,WGR,222544286.58487284
424,E-Commerce,Connect Coin,connect-coin,XCON,70000000
425,Energy,Grid+,gridplus,GRID,300000000
426,Platform,StockChain,stockchain,SCC,10000000000
427,Financial,OWL Token (StealthSwap),owl-token-stealthswap,OWL,10000000
428,Smart Contracts,TomoChain,tomochain,TOMO,100000000
429,Media,Scorum,scorum-coins,SCR,29265074.799
430,Marketing,qiibee,qiibee,QBX,1380392157
431,Marketplace,EUNOMIA,eunomia,ENTS,19973330191.3784
432,Cryptocurrency,Jiyo,jiyo,JIYOX,19171174.0990736
433,Financial,Moeda Loyalty Points,moeda-loyalty-points,MDA,19628888
434,Financial,Request,request,REQ,999881816.4083943
435,Cryptocurrency,Bitcoin Atom,bitcoin-atom,BCA,21000000
436,Masternodes,Divi,divi,DIVI,2597265222.250281
437,Entertainment,Content Value Network,content-value-network,CVNT,1000000000
438,Smart Contracts,Hurify,hurify,HUR,273325000
439,Cryptocurrency,FairCoin,faircoin,FAIR,53193831.469966
440,Cryptocurrency,DigitalNote,digitalnote,XDN,8065558733.557433
441,Cryptocurrency,Bitcore,bitcore,BTX,18617494.848048
442,Cryptocurrency,Primecoin,primecoin,XPM,38460636.87027372
443,Blockchain Network,Aeternity,aeternity,AE,392325685.49932
444,Ethereum,Snetwork,snetwork,SNET,1000000000
445,Gambling,BlitzPredict,blitzpredict,XBP,950873123.2766
446,Ethereum,Hermez Network,hermez-network,HEZ,100000000
447,Decentralized Exchange,Sashimi,sashimi,SASHIMI,2303603
448,Stablecoin,Steem Dollars,steem-dollars,SBD,9644735.863
449,Blockchain Service,Eligma,eligma-token,ELI,327902034
450,Jobs,Chrono.tech,chronotech,TIME,710112.81
451,Ethereum,ValueChain,valuechain,VLC,300000000
452,Exchange,Graviocoin,graviocoin,GIO,293438521.758814
453,Cryptocurrency,Stealth,stealth,XST,39630018.57645603
454,Cryptocurrency,Bitsum,bitsum,BSM,1844674407
455,,SHIELD,shield-xsh,XSH,512973375.234463
456,Social,Pivot Token,pivot-token,PVT,31415926535
457,Ethereum,Fantom,fantom,FTM,2545006273
458,Cryptocurrency,MinexCoin,minexcoin,MNX,6597237.5
459,Financial,TokenPay,tokenpay,TPAY,22076270.82026039
460,Verification,Faceter,faceter,FACE,936154235
461,Platform,VITE,vite,VITE,1027032907.5132748
462,Cryptocurrency,Litecoin Cash,litecoin-cash,LCC,744483949.9584944
463,Cryptocurrency,Pura,pura,PURA,183205630.159698
464,Mining,EvenCoin,evencoin,EVN,31247851.344495
465,Platform,Bee Token,bee-token,BEE,500000000
466,Blockchain Service,Nebulas,nebulas-token,NAS,75873762.69878
467,Blockchain Network,GoChain,gochain,GO,1154341282.848547
468,DeFi,FLUX,flux,FLUX,795913.292284
469,Blockchain Service,Experty,experty,EXY,79404563.976511
470,Infrastructure,CPChain,cpchain,CPC,999999999.171729
471,Cryptocurrency,Gulden,gulden,NLG,555396089
472,Data,MyToken,mytoken,MT,4000000000
473,Privacy,Monero Classic,monero-classic,XMC,19176436.19105911
474,Blockchain Service,BrahmaOS,brahmaos,BRM,3000000000
475,Blockchain Service,Morpheus Labs,morpheus-labs,MITX,713999995
476,Social,Narrative Network,narrative,NRV,82428004
477,Social,U Network,u-network,UUU,10000000000
478,Financial,Polybius,polybius,PLBT,3969564.998325
479,Gambling,Sp8de,sp8de,SPX,8888888888
480,Lending,SALT,salt,SALT,120000000
481,Gambling,HEROcoin,herocoin,PLAY,252165028.70539504
482,Blockchain Service,GoWithMi,gowithmi,GMAT,14900000000
483,Blockchain Network,TON Crystal,ton-crystal,TON,2039686622
484,Other,Po.et,poet,POE,3141592653
485,Data,CyberVein,cybervein,CVT,2147483648
486,Lending,Lendingblock,lendingblock,LND,1000000000
487,Mining,Speed Mining Service,speed-mining-service,SMS,300000
488,Platform,TosDis,tosdis,DIS,100000
489,Platform,Stratis,stratis,STRAX,130778577.4070016
490,Financial,Particl,particl,PART,11713976.86638543
491,Decentralized Exchange,Nash Exchange,nash-exchange,NEX,50000000
492,Platform,Starbase,starbase,STAR,1000000000
493,Exchange,The Midas Touch Gold,the-midas-touch-gold,TMTG,9161139666.073038
494,Supply,OriginTrail,origintrail,TRAC,500000000
495,DeFi,Opium,opium,OPIUM,0
496,Blockchain Service,Expanse,expanse,EXP,22845437
497,Blockchain Service,Sentinel,sentinel,DVPN,13187475061
498,Decentralized Exchange,Blockport,blockport,BPT,69434799.6292112
499,Gambling,DAO.Casino,dao-casino,BET,167270820.687909
500,Other,eosDAC,eosdac,EOSDAC,1200000000
501,Ethereum,No BS Crypto,no-bs-crypto,NOBS,2083803239.8837934
502,DeFi,Polkastarter,polkastarter,POLS,100000000
503,Real Estate,Rentberry,rentberry,BERRY,301473027.68713224
504,Gaming,Asura Coin,asura-coin,ASA,1000000000
505,Blockchain Network,HYCON ,hycon,HYC,5000000000
506,Cryptocurrency,Steem,steem,STEEM,410444492.452
507,Ethereum,Sharpe Platform Token,sharpe-platform-token,SHP,32000000
